,winner_age,winner_rank,loser_age,loser_rank,year,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,tourney_level_A,round_BR,round_ER,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,winner_hand_L,winner_hand_R,winner_hand_U,loser_hand_L,loser_hand_R,loser_hand_U,tourney_name_Australian Open,tourney_name_Roland Garros,tourney_name_US Open,tourney_name_Wimbledon,tourney_name_sch,tourney_name_autre
21460,29.1635865845,115.0,28.802190280599998,81.0,2006,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
30407,29.6700889802,72.0,29.9383983573,96.0,2010,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
21771,24.9637234771,306.0,29.472963723499998,99.0,2006,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
5085,22.8610540726,55.0,26.554414784400002,59.0,2000,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
43215,28.5886379192,28.0,31.958932238200003,70.0,2015,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
16077,18.9514031485,68.0,32.438056125900005,35.0,2004,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
16281,30.6283367556,38.0,31.8247775496,26.0,2004,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
34982,26.3655030801,11.0,29.7193702943,8.0,2011,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
16085,22.9431895962,32.0,25.5496235455,252.0,2004,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
34373,29.095140314899997,93.0,32.3066392882,144.0,2011,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
38250,26.5763175907,10.0,29.1690622861,54.0,2013,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
48452,32.2464065708,90.0,32.1861738535,21.0,2017,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
49004,23.983572895300004,8.0,29.1635865845,34.0,2017,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
39523,27.463381245700003,116.0,31.8767967146,3.0,2013,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0
13496,26.1820670773,104.0,24.2026009582,85.0,2003,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
50694,21.533196440799998,40.0,29.004791238899998,115.0,2018,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
41994,28.1971252567,30.0,32.4188911704,54.0,2014,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
29460,25.1690622861,67.0,20.9418206708,279.0,2009,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
18885,33.0102669405,59.0,34.450376454499995,99.0,2005,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
30434,21.3059548255,14.0,37.108829568800004,67.0,2010,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0
48453,29.864476386,30.0,29.5195071869,118.0,2017,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0
15833,28.388774811799998,123.0,24.164271047199996,99.0,2004,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0
18872,22.8062970568,4.0,30.2422997947,22.0,2005,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0
33023,22.5516769336,74.0,18.6967830253,172.0,2011,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
21623,23.805612594099998,163.0,30.1683778234,82.0,2006,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
21840,23.994524298400002,10.0,25.1991786448,112.0,2006,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
42585,35.4880219028,30.0,33.0896646133,54.0,2014,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
